Time since refrence of first frame,Checksum,Window Scaling factor,Calculated Window size value,Window size value,Capture Length,Next Sequence Number,Acknowledge Number,SRC PORT,SRC DEST,SRC IP,Dest IP,Offset,S.Address1,S.Address2,S.Address3,S.Address4,S.Address5,Adress1,Adress2,Adress3,Adress4,Adress5,Checksum 1,Irtt,Data,Labeled
74.21552,0x317e,4,64224,16056,1078,14,2097,6643,4433,114,111,0,25,b3,bf,91,ee,0c,29,7,ae,27,0x5d1c,0.000174, 2304d4d1cc1b1cd73df6af9aac5bdcfce003594a894a4744,0
74.21575,0x5d1c,1,64224,16056,1514,14,3121,6643,4433,114,111,0,25,b3,bf,91,ee,0c,29,7,ae,27,0x5ed0,0.000174, cc52d2b0c787a5de074a8a97b5161a27e4ae45337b034f89,0
74.215756,0x5ed0,4,64224,16056,642,14,4581,6643,4433,114,111,0,25,b3,bf,91,ee,0c,29,7,ae,27,0x5b68,0.000174, d4e334431839dc4d67c778619b638e2ad3dc83f329ab707d,0
74.215824,0x5b68,4,64240,64240,54,5169,14,4433,6643,111,114,0,0c,29,7,ae,27,25,b3,bf,91,ee,0x317e,0.000174,x,0
74.215864,0x257e,4,64224,16056,1078,14,5169,6643,4433,114,111,0,25,b3,bf,91,ee,0c,29,7,ae,27,0x5d1c,0.000174, f3083511b7156a68562b2b54a31520b700d2f95e9473a158,0
74.216054,0x5d1c,1,64224,16056,1514,14,6193,6643,4433,114,111,0,25,b3,bf,91,ee,0c,29,7,ae,27,0x5ed0,0.000174, dbe666b0a94d475348bb97ed4796b9ddc9a9259181c03502,0
74.216067,0x5ed0,4,64224,16056,642,14,7653,6643,4433,114,111,0,25,b3,bf,91,ee,0c,29,7,ae,27,0x5b68,0.000174, cc71763de9a4e68a4aa1066ac5b4e14fcc01aaf4b8e38a4d,0
74.216124,0x5b68,4,64240,64240,54,8241,14,4433,6643,111,114,0,0c,29,7,ae,27,25,b3,bf,91,ee,0x257e,0.000174,x,0
74.216166,0x257e,4,64224,16056,1078,14,8241,6643,4433,114,111,0,25,b3,bf,91,ee,0c,29,7,ae,27,0x5d1c,0.000174, d6a6625252d25020a28a298c28a314a05000b4ac076a369e,0
74.216356,0x5d1c,1,64224,16056,1514,14,9265,6643,4433,114,111,0,25,b3,bf,91,ee,0c,29,7,ae,27,0x5ed0,0.000174, 63091de9320f152b460f22ab382a69c50315d45569538e2a,0
74.216362,0x5ed0,4,64224,16056,642,14,10725,6643,4433,114,111,0,25,b3,bf,91,ee,0c,29,7,ae,27,0x5b68,0.000174, 2e28c5310945145030a28a280101c1cd5986e4a38cf4aaf4,0
74.216414,0x5b68,4,61168,61168,54,11313,14,4433,6643,111,114,0,0c,29,7,ae,27,25,b3,bf,91,ee,0x257e,0.000174,x,0
74.216463,0x257e,4,64224,16056,1078,14,11313,6643,4433,114,111,0,25,b3,bf,91,ee,0c,29,7,ae,27,0x5d1c,0.000174, da013d771151497a1ade4d9752f95e5cead04bbb7ccec5f6,0
74.21665,0x5d1c,1,64224,16056,1514,14,12337,6643,4433,114,111,0,25,b3,bf,91,ee,0c,29,7,ae,27,0x5ed0,0.000174, e5caf5e6ba940cb98bf1b06a64c1c1c8154d269091f37156,0
74.216656,0x5ed0,4,64224,16056,642,14,13797,6643,4433,114,111,0,25,b3,bf,91,ee,0c,29,7,ae,27,0x5b68,0.000174, 4b4ac172407de9e18d440d2eea561a64dba9c1eabeea706a,0
74.216708,0x5b68,4,58096,58096,54,14385,14,4433,6643,111,114,0,0c,29,7,ae,27,25,b3,bf,91,ee,0x257e,0.000174,x,0
74.216782,0x257e,4,64224,16056,1078,14,14385,6643,4433,114,111,0,25,b3,bf,91,ee,0c,29,7,ae,27,0x5d1c,0.000174, 59cffa441271d3a47231efe98ae523d48456f2431dec2ab2,0
74.216967,0x5d1c,1,64224,16056,1514,14,15409,6643,4433,114,111,0,25,b3,bf,91,ee,0c,29,7,ae,27,0x5ed0,0.000174, 00a00ea78e4939266af4e8c5c60a2cf326f9a4da131494ec,0
74.216973,0x5ed0,4,64224,16056,642,14,16869,6643,4433,114,111,0,25,b3,bf,91,ee,0c,29,7,ae,27,0x5b68,0.000174, a3a86c944b70db468000a2ace1547b5545b850324d2ade46,0
74.217129,0x5b68,4,55024,55024,54,17457,14,4433,6643,111,114,0,0c,29,7,ae,27,25,b3,bf,91,ee,0x257e,0.000174,x,0
74.217146,0x257e,4,64224,16056,1078,14,17457,6643,4433,114,111,0,25,b3,bf,91,ee,0c,29,7,ae,27,0x5d1c,0.000174, 80320c9c8ab1268106df909cd2962e0982a5239a440bf311,0
74.217245,0x5d1c,1,64224,16056,1514,14,18481,6643,4433,114,111,0,25,b3,bf,91,ee,0c,29,7,ae,27,0x5ed0,0.000174, 115d5dcb2b2616b2658831f9b9aeea55dbdcc254d1ce64a1,0
